id,reviews_scores_accuracy,allows_children,allows_infants,allows_pets,reviews_scores_avg_rating,bathrooms,bedrooms,beds,can_instant_book,cancel_policy,reviews_scores_checkin,city,cleaning_fee,reviews_scores_cleanliness,reviews_scores_communication,is_new_listing,is_super_host,reviews_scores_location,max_nights,min_nights,monthly_price_factor,person_capacity,picture_count,price_string,response_rate,response_time,reviews_scores_rating,reviews_count,room_type,reviews_scores_star,reviews_scores_value,weekly_price_factor,extra_people,security,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance,paikkakunnat
22858494,,1.0,1.0,0.0,4.5-5.0/5.0,0.5,0.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,,Helsinki,0,,,0,0,,1125,1,0.0,2,17,38,100%,within an hour,,365,Entire home/apt,3.6-4.4/5.0,,0.9,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Kamppi
16501244,,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,3.0,0,CANCEL_MODERATE,,Helsinki,0,,,0,1,,60,1,0.8,7,22,58,100%,within an hour,,327,Entire home/apt,4.5-5.0/5.0,,0.88,8,217,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,Kamppi
28982354,,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,,Helsinki,0,,,0,1,,6,1,0.0,3,3,26,50-89%,within an hour,,115,Shared room,4.5-5.0/5.0,,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Ullanlinna
41969547,,1.0,1.0,0.0,no reviews,4.0,1.0,1.0,1,CANCEL_FLEXIBLE,,Helsinki,0,,,1,0,,1125,1,0.0,1,14,24,100%,within an hour,,2,Shared room,,,0.0,0,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,Siltasaari
42901953,,1.0,1.0,0.0,no reviews,1.0,1.0,2.0,1,CANCEL_FLEXIBLE,,Helsinki,11,,,1,0,,1125,1,0.9,4,13,55,100%,within a few hours,,1,Entire home/apt,,,0.9,0,2173,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,Kamppi
21557494,,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,1.0,0,CANCEL_FLEXIBLE,,Helsinki,0,,,0,1,,7,1,0.0,1,6,49,100%,within a few hours,,162,Private room,4.5-5.0/5.0,,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Linjat
32799667,,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,2.0,1,CANCEL_MODERATE,,Helsinki,27,,,0,1,,1125,1,0.0,4,21,64,100%,within an hour,,138,Entire home/apt,4.5-5.0/5.0,,0.0,33,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,Kluuvi
18230458,,1.0,1.0,0.0,4.5-5.0/5.0,1.5,0.0,2.0,1,CANCEL_MODERATE,,Helsinki,16,,,0,1,,1125,1,0.9,2,12,76,100%,within a few hours,,76,Entire home/apt,4.5-5.0/5.0,,0.95,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Etu-Töölö
25500683,,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,2.0,0,CANCEL_MODERATE,,Helsinki,11,,,0,1,,1125,1,0.9,3,27,77,50-89%,within a few hours,,93,Entire home/apt,4.5-5.0/5.0,,0.93,33,217,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Kamppi
11468881,,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,1.0,1,CANCEL_MODERATE,,Helsinki,26,,,0,0,,1124,1,0.0,2,9,75,50-89%,within an hour,,503,Entire home/apt,3.6-4.4/5.0,,0.9,0,217,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Ullanlinna
42403312,,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,1.0,1,CANCEL_FLEXIBLE,,Helsinki,0,,,0,0,,180,1,0.85,4,5,52,100%,within an hour,,3,Entire home/apt,3.6-4.4/5.0,,0.85,16,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Linjat
11540653,,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,1.0,0,CANCEL_FLEXIBLE,,Helsinki,11,,,0,0,,10,1,1.0,2,14,48,100%,within a few hours,,186,Entire home/apt,3.6-4.4/5.0,,1.0,11,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Kumpula
42922180,,1.0,1.0,0.0,no reviews,1.0,1.0,2.0,1,CANCEL_FLEXIBLE,,Helsinki,0,,,1,0,,1125,1,0.0,2,5,26,100%,unknown,,0,Private room,,,0.0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Itä-Pasila
42521388,,1.0,1.0,0.0,3.6-4.4/5.0,1.0,1.0,3.0,1,CANCEL_MODERATE,,Helsinki,0,,,0,0,,1125,1,0.69,3,11,35,100%,unknown,,6,Private room,3.6-4.4/5.0,,0.9,9,97,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Itä-Pasila
39002105,,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,1.0,1,CANCEL_FLEXIBLE,,Helsinki,4,,,0,1,,31,1,0.9,3,10,35,0-49%,unknown,,32,Private room,3.6-4.4/5.0,,0.94,7,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,Pikku Huopalahti
30949175,,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,2.0,1,CANCEL_MODERATE,,Helsinki,38,,,0,0,,1125,2,0.0,4,13,122,100%,unknown,,42,Entire home/apt,3.6-4.4/5.0,,0.0,16,0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Kamppi
32034311,,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,2.0,1,CANCEL_FLEXIBLE,,Helsinki,9,,,0,1,,12,1,1.0,2,6,55,100%,within an hour,,65,Private room,4.5-5.0/5.0,,0.9,16,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Taka-Töölö
43049962,10/10,1.0,1.0,0.0,no reviews,1.0,1.0,2.0,1,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,1,0,10/10,7,1,0.0,2,6,39,0-49%,unknown,80-94/100,1,Entire home/apt,,9/10,0.0,11,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Vilhonvuori
28617132,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,1.0,1,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,0,0,10/10,10,1,1.0,3,22,95,0-49%,unknown,80-94/100,211,Entire home/apt,4.5-5.0/5.0,9/10,0.95,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Etu-Töölö
39774805,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,1.0,1,CANCEL_FLEXIBLE,9/10,Helsinki,4,9/10,10/10,0,1,10/10,31,1,0.9,3,10,32,0-49%,unknown,80-94/100,27,Private room,4.5-5.0/5.0,9/10,0.94,7,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,Pikku Huopalahti
36353225,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9/10,Helsinki,0,9/10,10/10,0,0,10/10,1125,1,1.0,2,13,58,50-89%,within an hour,80-94/100,84,Private room,4.5-5.0/5.0,9/10,0.95,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Kamppi
38771885,10/10,1.0,1.0,0.0,3.6-4.4/5.0,1.0,0.0,2.0,1,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,0,0,10/10,1125,1,0.8,3,8,81,50-89%,unknown,80-94/100,25,Entire home/apt,3.6-4.4/5.0,9/10,0.9,5,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,Punavuori
40033351,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,2.0,1,CANCEL_MODERATE,9/10,Helsinki,38,9/10,10/10,0,1,10/10,1125,2,0.0,4,19,122,90-99%,unknown,80-94/100,13,Entire home/apt,4.5-5.0/5.0,9/10,0.0,16,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,Kamppi
42684617,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,2.0,1,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,0,0,10/10,1125,1,0.85,2,18,46,100%,unknown,80-94/100,4,Entire home/apt,4.5-5.0/5.0,9/10,0.9,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Harju
42596142,10/10,1.0,1.0,0.0,no reviews,1.5,1.0,2.0,1,CANCEL_FLEXIBLE,9/10,Helsinki,0,9/10,10/10,1,0,10/10,1125,1,1.0,1,6,26,0-49%,unknown,80-94/100,2,Private room,,9/10,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Kontula
41758970,10/10,1.0,1.0,0.0,3.6-4.4/5.0,1.0,1.0,1.0,1,CANCEL_MODERATE,9/10,Helsinki,0,9/10,10/10,0,0,10/10,1125,1,1.0,4,13,93,50-89%,within an hour,80-94/100,3,Entire home/apt,3.6-4.4/5.0,9/10,1.0,5,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Kamppi
24045106,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,2.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9/10,Helsinki,43,9/10,10/10,0,1,10/10,1124,1,0.85,4,11,116,100%,within an hour,80-94/100,22,Entire home/apt,4.5-5.0/5.0,9/10,0.9,16,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Kluuvi
18521789,10/10,1.0,1.0,0.0,4.5-5.0/5.0,0.5,1.0,2.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9/10,Helsinki,15,9/10,10/10,0,1,10/10,120,1,0.72,2,13,58,100%,within an hour,80-94/100,105,Private room,4.5-5.0/5.0,9/10,0.96,15,97,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,Alppila
33890366,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,3.0,0,CANCEL_MODERATE,9/10,Helsinki,22,9/10,10/10,0,1,10/10,1125,1,0.0,4,9,109,100%,within a few hours,80-94/100,130,Entire home/apt,4.5-5.0/5.0,9/10,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Etu-Töölö
43064194,10/10,1.0,1.0,0.0,no reviews,1.0,1.0,2.0,1,CANCEL_FLEXIBLE,9/10,Helsinki,0,9/10,10/10,1,0,10/10,60,1,0.55,2,4,46,100%,within an hour,80-94/100,0,Private room,,9/10,0.65,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Etu-Töölö
36196446,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,1.0,1,CANCEL_FLEXIBLE,9/10,Helsinki,0,9/10,10/10,0,0,10/10,1125,1,0.0,2,9,41,100%,within an hour,80-94/100,27,Private room,4.5-5.0/5.0,9/10,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Myllypuro
34367632,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,2.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10/10,Helsinki,38,10/10,10/10,0,0,10/10,1125,2,0.0,4,12,122,100%,within an hour,80-94/100,21,Entire home/apt,3.6-4.4/5.0,9/10,0.0,16,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,Kamppi
29644231,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,1.0,1,CANCEL_MODERATE,10/10,Helsinki,0,10/10,10/10,0,1,10/10,1125,1,0.8,2,16,101,100%,within an hour,80-94/100,158,Entire home/apt,4.5-5.0/5.0,9/10,0.9,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Ullanlinna
3408263,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,1.0,1,CANCEL_MODERATE,10/10,Helsinki,26,10/10,10/10,0,0,10/10,1124,1,0.74,2,9,75,50-89%,within an hour,80-94/100,606,Entire home/apt,3.6-4.4/5.0,9/10,0.9,0,217,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,Vallila
4459868,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,3.0,1,CANCEL_FLEXIBLE,10/10,Helsinki,14,10/10,10/10,0,0,10/10,1125,1,0.8,4,22,95,0-49%,unknown,80-94/100,603,Entire home/apt,4.5-5.0/5.0,9/10,0.9,9,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,Siltasaari
38727425,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,1.0,0,CANCEL_FLEXIBLE,10/10,Helsinki,0,10/10,10/10,0,1,10/10,1125,1,0.0,2,6,27,50-89%,within an hour,80-94/100,52,Private room,4.5-5.0/5.0,9/10,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Nordsjön kartano
39487366,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,0.0,1,CANCEL_FLEXIBLE,10/10,Helsinki,4,10/10,10/10,0,1,10/10,28,1,0.0,3,4,28,100%,within an hour,80-94/100,8,Private room,3.6-4.4/5.0,9/10,0.94,7,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,Meri-Rastila
31606666,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,1.0,1,CANCEL_MODERATE,10/10,Helsinki,43,10/10,10/10,0,0,10/10,1125,2,0.0,4,13,129,100%,unknown,80-94/100,27,Entire home/apt,4.5-5.0/5.0,9/10,0.0,16,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Kluuvi
37905256,10/10,1.0,1.0,0.0,3.6-4.4/5.0,1.0,1.0,1.0,1,CANCEL_MODERATE,10/10,Helsinki,20,10/10,10/10,0,0,10/10,1125,1,0.0,4,6,79,50-89%,within an hour,80-94/100,49,Entire home/apt,3.6-4.4/5.0,9/10,0.95,11,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Ullanlinna
42545597,10/10,1.0,1.0,0.0,no reviews,1.5,1.0,1.0,1,CANCEL_MODERATE,10/10,Helsinki,38,10/10,10/10,1,0,10/10,1125,2,0.0,4,16,115,100%,unknown,80-94/100,2,Entire home/apt,,9/10,0.0,16,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,Kamppi
33603361,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,3.0,1,CANCEL_MODERATE,10/10,Helsinki,16,10/10,10/10,0,1,10/10,1125,1,0.0,3,8,89,100%,within a few hours,80-94/100,113,Entire home/apt,4.5-5.0/5.0,9/10,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Etu-Töölö
26240541,10/10,1.0,1.0,0.0,3.6-4.4/5.0,1.0,1.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10/10,Helsinki,5,10/10,10/10,0,0,10/10,1125,1,1.0,2,11,39,100%,within an hour,80-94/100,84,Private room,3.6-4.4/5.0,9/10,1.0,11,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Pihlajisto
43030513,10/10,1.0,1.0,0.0,no reviews,1.0,1.0,2.0,1,CANCEL_FLEXIBLE,10/10,Helsinki,0,10/10,10/10,1,0,10/10,1125,1,0.0,2,6,26,100%,within an hour,80-94/100,0,Private room,,9/10,0.0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Itä-Pasila
25399185,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,0.0,1,CANCEL_MODERATE,10/10,Helsinki,27,10/10,10/10,0,1,10/10,1125,1,0.0,4,5,96,100%,within a few hours,80-94/100,128,Entire home/apt,4.5-5.0/5.0,9/10,0.9,16,217,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Kamppi
41781809,10/10,1.0,1.0,0.0,no reviews,4.0,1.0,2.0,1,CANCEL_FLEXIBLE,10/10,Helsinki,0,10/10,10/10,0,0,10/10,1125,1,0.0,2,17,55,100%,within an hour,80-94/100,0,Private room,,9/10,0.0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,Vilhonvuori
17834020,10/10,1.0,1.0,0.0,4.5-5.0/5.0,0.5,0.0,1.0,1,CANCEL_FLEXIBLE,10/10,Helsinki,11,10/10,10/10,0,0,10/10,1125,1,0.85,3,19,107,100%,within an hour,80-94/100,326,Entire home/apt,3.6-4.4/5.0,9/10,0.9,11,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,Kamppi
20977238,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,1.0,0,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10/10,Helsinki,11,10/10,10/10,0,0,10/10,1125,1,0.9,2,8,42,100%,within an hour,80-94/100,102,Private room,3.6-4.4/5.0,9/10,0.95,11,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,Ala-Malmi
11879784,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.5,0.0,1.0,0,CANCEL_MODERATE,10/10,Helsinki,0,10/10,10/10,0,1,10/10,1125,1,0.72,2,14,75,100%,within a few hours,80-94/100,26,Entire home/apt,4.5-5.0/5.0,9/10,0.87,22,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Linjat
22055402,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,1.0,1,CANCEL_MODERATE,10/10,Helsinki,10,10/10,10/10,0,1,10/10,30,1,1.0,2,11,56,100%,within an hour,80-94/100,119,Private room,4.5-5.0/5.0,9/10,1.0,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,Herttoniemenranta
37514841,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,2.0,0,CANCEL_MODERATE,10/10,Helsinki,11,10/10,10/10,0,1,10/10,31,1,0.8,3,15,45,100%,within an hour,95-100/100,33,Private room,4.5-5.0/5.0,9/10,0.9,22,0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,Kumpula
31213330,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,1.0,1,CANCEL_MODERATE,10/10,Helsinki,27,10/10,10/10,0,1,10/10,1125,1,0.75,2,24,109,100%,within an hour,95-100/100,77,Entire home/apt,4.5-5.0/5.0,9/10,0.89,0,217,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,Hernesaari
37307947,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,0.0,2.0,1,CANCEL_MODERATE,10/10,Helsinki,0,10/10,10/10,0,0,10/10,1125,1,0.8,3,9,92,50-89%,within an hour,95-100/100,34,Entire home/apt,3.6-4.4/5.0,9/10,0.9,5,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,Kamppi
38743638,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,3.0,1,CANCEL_FLEXIBLE,10/10,Helsinki,16,10/10,10/10,0,1,10/10,1125,1,0.8,4,19,114,100%,within an hour,95-100/100,25,Entire home/apt,4.5-5.0/5.0,9/10,0.9,27,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,Kruununhaka
37231876,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,1.0,1,CANCEL_FLEXIBLE,10/10,Helsinki,0,10/10,10/10,0,0,10/10,30,1,0.75,1,4,52,100%,within an hour,95-100/100,37,Private room,3.6-4.4/5.0,9/10,0.87,0,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Länsi-Pasila
