,id,reviews_scores_accuracy,allows_children,allows_infants,allows_pets,reviews_scores_avg_rating,bathrooms,bedrooms,beds,can_instant_book,cancel_policy,reviews_scores_checkin,city,cleaning_fee,reviews_scores_cleanliness,reviews_scores_communication,host_verified,is_business_travel_ready,is_new_listing,is_super_host,kicker_content_message,latitude,localized_city,reviews_scores_location,longitude,max_nights,min_nights,monthly_price_factor,name,person_capacity,picture_count,price_string,property_type_id,response_rate,response_time,review_count,reviews_scores_rating,reviews_count,room_and_property_type,room_type,room_type_category,space_type,reviews_scores_star,reviews_scores_value,visible_review_count,weekly_price_factor,extra_people,security,air_conditioning,balcony,nature_and_views,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,child_friendly,parking,outdoor_space,host_greeting,internet,long_term_stays,private_entrance,paikkakunnat,NIMI
145,19667533,9/10,1.0,1.0,0.0,3.6-4.4/5.0,1.0,1.0,2.0,1,CANCEL_MODERATE,9/10,Helsinki,38,9/10,10/10,0,0,0,0,Entire apartment,60.16926,Helsinki,10/10,24.92546,1125,2,0.0,Unique studio in the heart of Helsinki,4,23,109,1.0,100%,within an hour,11.0,80-94/100,63,Entire apartment,Entire home/apt,entire_home,Entire apartment,3.6-4.4/5.0,9.0,11.0,0.0,16,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Patola,Patola
146,36219853,9/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,2.0,7.0,1,CANCEL_MODERATE,9/10,Helsinki,33,9/10,10/10,0,0,0,0,Entire apartment,60.24654,Helsinki,10/10,24.88457,30,1,0.75,Helsinki Hide Away,8,10,83,1.0,100%,within an hour,11.0,80-94/100,48,Entire apartment,Entire home/apt,entire_home,Entire apartment,3.6-4.4/5.0,9.0,11.0,1.0,8,217,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,Siltasaari,Siltasaari
147,36379385,9/10,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,1.0,1,CANCEL_MODERATE,9/10,Helsinki,33,9/10,10/10,0,0,0,0,Private room,60.18728,Helsinki,10/10,24.87064,1125,1,0.9,Single Room on  Beautiful Island,1,8,69,2.0,100%,within an hour,11.0,80-94/100,15,Private room in house,Private room,private_room,Private room,4.5-5.0/5.0,9.0,11.0,0.95,0,217,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,Kluuvi,Kluuvi
148,42733399,9/10,1.0,1.0,0.0,nan,1.5,3.0,6.0,1,CANCEL_MODERATE,9/10,Helsinki,76,9/10,10/10,0,0,1,0,Entire condominium,60.17213,Helsinki,10/10,24.94471,1125,2,0.0,Stunning 95m2 apartment with sauna in Kaisaniemi,8,16,168,37.0,100%,within an hour,11.0,80-94/100,0,Entire condominium,Entire home/apt,entire_home,Entire condominium,nan,9.0,11.0,0.0,16,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Punavuori,Punavuori
149,26129212,9/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,2.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9/10,Helsinki,11,9/10,10/10,0,0,0,0,Private room,60.18666,Helsinki,10/10,24.95848,1125,1,0.0,Lovely room of heart in the Kallio,2,13,60,1.0,100%,within an hour,11.0,80-94/100,39,Private room in apartment,Private room,private_room,Private room,4.5-5.0/5.0,9.0,11.0,0.0,11,109,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Ullanlinna,Ullanlinna
150,28929171,9/10,1.0,1.0,0.0,nan,1.5,1.0,0.0,0,CANCEL_STRICT_14_WITH_GRACE_PERIOD,9/10,Helsinki,8,9/10,10/10,0,0,0,0,Private room,60.16568,Helsingfors,10/10,24.97607,1125,1,0.82,Spacious Room,2,11,41,1.0,50-89%,within a day,11.0,80-94/100,1,Private room in apartment,Private room,private_room,Private room,nan,9.0,11.0,0.9,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Tapanila,Tapanila
151,26217722,9/10,1.0,1.0,1.0,4.5-5.0/5.0,1.5,2.0,5.0,1,CANCEL_MODERATE,10/10,Helsinki,43,0-8/10,10/10,0,0,0,0,Entire apartment,60.16952,Helsinki,9/10,24.93324,1125,2,0.0,Enjoy luxurious 76m2+sauna stay in Kamppi Center!,7,16,231,1.0,100%,within an hour,9.0,80-94/100,41,Entire apartment,Entire home/apt,entire_home,Entire apartment,3.6-4.4/5.0,9.0,9.0,0.0,16,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Punavuori,Punavuori
152,19711057,9/10,1.0,1.0,1.0,4.5-5.0/5.0,1.5,1.0,1.0,0,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10/10,Helsinki,11,0-8/10,10/10,0,0,0,0,Private room,60.16569000000001,Helsinki,9/10,24.97589,1125,1,0.6,Private room,2,9,59,1.0,50-89%,within a day,9.0,80-94/100,43,Private room in apartment,Private room,private_room,Private room,3.6-4.4/5.0,9.0,9.0,0.88,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Itä-Pasila,Itä-Pasila
153,21324895,9/10,1.0,1.0,1.0,3.6-4.4/5.0,1.0,1.0,1.0,1,CANCEL_MODERATE,10/10,Helsinki,38,0-8/10,10/10,0,0,0,0,Entire apartment,60.18681,Helsinki,9/10,24.95636,180,1,0.82,Cool Flat in Hipster Kallio!!!,3,15,104,1.0,50-89%,within a few hours,9.0,80-94/100,91,Entire apartment,Entire home/apt,entire_home,Entire apartment,3.6-4.4/5.0,9.0,9.0,0.9,11,163,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,Kamppi,Kamppi
154,32101044,9/10,1.0,1.0,1.0,4.5-5.0/5.0,1.0,1.0,2.0,1,CANCEL_MODERATE,10/10,Helsinki,27,0-8/10,10/10,0,0,0,0,Entire apartment,60.19455,Helsingfors,9/10,24.9566,20,2,0.85,"Spacious, stylish apartment near the city centre",3,7,114,1.0,100%,within an hour,9.0,80-94/100,39,Entire apartment,Entire home/apt,entire_home,Entire apartment,3.6-4.4/5.0,9.0,9.0,0.88,16,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,Kamppi,Kamppi
155,41798417,9/10,1.0,1.0,1.0,nan,4.0,1.0,3.0,1,CANCEL_FLEXIBLE,10/10,Helsinki,0,0-8/10,10/10,0,0,0,0,Hostel room,60.17863000000001,Helsingfors,9/10,24.95825,1125,1,0.0,Семейный номер. №7 · Hotel-hostel INNTOURIST in the CENTER of Helsinki,4,15,73,45.0,100%,within an hour,9.0,80-94/100,1,Private room in hostel,Private room,private_room,Hostel room,nan,9.0,9.0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,Kluuvi,Kluuvi
156,21584437,9/10,1.0,1.0,1.0,3.6-4.4/5.0,1.5,1.0,2.0,1,CANCEL_MODERATE,10/10,Helsinki,38,0-8/10,10/10,0,0,0,0,Entire apartment,60.21524,Helsinki,9/10,24.95669,30,1,0.78,Peacefull home in Käpylä and on the airport route,3,15,102,1.0,100%,within an hour,9.0,80-94/100,83,Entire apartment,Entire home/apt,entire_home,Entire apartment,3.6-4.4/5.0,9.0,9.0,0.86,11,0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,Vesala,Vesala
157,27600932,9/10,1.0,1.0,1.0,4.5-5.0/5.0,1.5,0.0,1.0,0,CANCEL_FLEXIBLE,10/10,Helsinki,0,0-8/10,10/10,0,0,0,1,Entire apartment,60.19441,Helsinki,9/10,24.95731,1125,1,1.0,"Stylish flat in Vallila/Kallio, perfect location",3,7,109,1.0,50-89%,within a few hours,9.0,80-94/100,82,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.5-5.0/5.0,9.0,9.0,0.78,43,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Etu-Töölö,Etu-Töölö
158,26627094,9/10,1.0,1.0,1.0,4.5-5.0/5.0,1.0,3.0,7.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10/10,Helsinki,54,0-8/10,10/10,0,0,0,1,Entire apartment,60.17155,Helsinki,9/10,24.94493,1125,1,0.0,Downtown glamorous beauty,16,55,251,1.0,100%,within an hour,9.0,80-94/100,198,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.5-5.0/5.0,9.0,9.0,0.0,33,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Punavuori,Punavuori
159,11930159,9/10,1.0,1.0,1.0,4.5-5.0/5.0,1.0,1.0,2.0,0,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10/10,Helsinki,16,0-8/10,10/10,0,0,0,0,Entire apartment,60.16173000000001,Helsinki,9/10,24.93862,1125,1,0.92,Best Place to Sleep in Helsinki!,4,13,112,1.0,100%,within an hour,9.0,80-94/100,58,Entire apartment,Entire home/apt,entire_home,Entire apartment,3.6-4.4/5.0,9.0,9.0,0.95,11,163,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Alppikylä,Alppikylä
160,16036201,9/10,1.0,1.0,1.0,3.6-4.4/5.0,1.0,1.0,2.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10/10,Helsinki,16,0-8/10,10/10,0,0,0,0,Private room,60.16876,Helsinki,9/10,24.92592,1125,1,0.85,Cozy room in the heart of Helsinki,2,11,76,1.0,100%,within an hour,9.0,80-94/100,99,Private room in apartment,Private room,private_room,Private room,3.6-4.4/5.0,9.0,9.0,0.95,11,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Kaartinkaupunki,Kaartinkaupunki
161,30857170,9/10,1.0,1.0,1.0,4.5-5.0/5.0,1.0,1.0,2.0,1,CANCEL_FLEXIBLE,10/10,Helsinki,27,0-8/10,10/10,0,0,0,0,Entire apartment,60.17178000000001,Helsinki,9/10,24.94564,28,1,0.8,A Roomy  Art Nouveau Flat -next to the Railway Stn,4,20,172,1.0,100%,within a few hours,9.0,80-94/100,93,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.5-5.0/5.0,9.0,9.0,0.9,11,109,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Vallila,Vallila
162,42749304,9/10,1.0,1.0,1.0,nan,1.0,1.0,2.0,1,CANCEL_MODERATE,10/10,Helsinki,38,0-8/10,10/10,0,0,1,0,Entire condominium,60.16678,Helsingfors,9/10,24.93096,1125,2,0.0,Unique 1BR apartment in the heart of the city,3,12,115,37.0,100%,within an hour,9.0,80-94/100,0,Entire condominium,Entire home/apt,entire_home,Entire condominium,nan,9.0,9.0,0.0,16,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Kamppi,Kamppi
163,37322868,9/10,1.0,1.0,1.0,4.5-5.0/5.0,2.0,1.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10/10,Helsinki,22,0-8/10,10/10,0,0,0,0,Private room,60.239,Helsinki,9/10,24.96677,4,1,0.0,Cabin in the woods,2,5,49,38.0,0-49%,within an hour,9.0,80-94/100,8,Private room in bungalow,Private room,private_room,Private room,4.5-5.0/5.0,9.0,9.0,0.0,11,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,Kamppi,Kamppi
164,41444017,9/10,1.0,1.0,1.0,4.5-5.0/5.0,1.5,1.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10/10,Helsinki,16,0-8/10,10/10,0,0,0,1,Private room,60.18656,Helsinki,9/10,24.91998,1125,1,0.8,Apartment (Room 1) on the Main Street of Helsinki,2,12,105,1.0,50-89%,within an hour,9.0,80-94/100,3,Private room in apartment,Private room,private_room,Private room,4.5-5.0/5.0,9.0,9.0,0.9,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Kamppi,Kamppi
165,1993764,10/10,1.0,1.0,0.0,3.6-4.4/5.0,1.0,1.0,4.0,1,CANCEL_MODERATE,10/10,Helsinki,22,9/10,10/10,0,0,0,0,Entire apartment,60.1557,Helsinki,10/10,24.94786,1125,1,0.75,Helsinki central luxury with sauna,4,25,141,1.0,100%,within an hour,14.0,80-94/100,112,Entire apartment,Entire home/apt,entire_home,Entire apartment,3.6-4.4/5.0,10.0,14.0,0.95,11,98,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Kamppi,Kamppi
166,41977582,10/10,1.0,1.0,0.0,nan,1.0,1.0,1.0,1,CANCEL_FLEXIBLE,10/10,Helsinki,0,9/10,10/10,0,0,0,0,Private room,60.23666,Helsinki,10/10,25.11778,1125,1,0.0,Comy & cozy room in shared apartment ❤️Room 2,2,14,35,1.0,100%,within an hour,14.0,80-94/100,0,Private room in apartment,Private room,private_room,Private room,nan,10.0,14.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Kluuvi,Kluuvi
167,40676648,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,4.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10/10,Helsinki,33,9/10,10/10,0,0,0,1,Entire apartment,60.17333000000001,Helsinki,10/10,24.95121,1125,1,0.0,Downtown Majestic Beauty,6,8,141,1.0,100%,within an hour,14.0,80-94/100,10,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.5-5.0/5.0,10.0,14.0,0.0,22,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,Roihuvuori,Roihuvuori
168,36549681,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,1.0,0,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10/10,Helsinki,0,9/10,10/10,0,0,0,0,Private room,60.16038,Helsinki,10/10,24.94245,4,1,0.0,Private debroom in Eira – 1km from the center,2,1,63,1.0,100%,within an hour,14.0,80-94/100,52,Private room in apartment,Private room,private_room,Private room,4.5-5.0/5.0,10.0,14.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Kamppi,Kamppi
169,25242999,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,2.0,1,CANCEL_FLEXIBLE,10/10,Helsinki,33,9/10,10/10,0,0,0,1,Entire apartment,60.174380000000006,Helsinki,10/10,24.91733,1125,1,0.9,Spacious and stylish south facing city apartment,5,20,153,1.0,100%,within an hour,14.0,80-94/100,51,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.5-5.0/5.0,10.0,14.0,0.95,33,326,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,Kruununhaka,Kruununhaka
170,33382518,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,4.0,1,CANCEL_MODERATE,10/10,Helsinki,22,9/10,10/10,0,0,0,0,Entire condominium,60.15745,Helsingfors,10/10,24.95143,31,1,0.8,Peaceful two-room-flat in an upscale district,4,11,114,37.0,100%,within a few hours,14.0,80-94/100,41,Entire condominium,Entire home/apt,entire_home,Entire condominium,3.6-4.4/5.0,10.0,14.0,0.0,16,109,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Kamppi,Kamppi
171,32160996,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,2.0,1,CANCEL_MODERATE,10/10,Helsinki,33,9/10,10/10,0,0,0,1,Entire condominium,60.16624,Helsinki,10/10,24.93037,1125,1,0.77,Cozy apartment in heart of Helsinki with parking,4,6,179,37.0,100%,within an hour,14.0,80-94/100,24,Entire condominium,Entire home/apt,entire_home,Entire condominium,4.5-5.0/5.0,10.0,14.0,0.91,11,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Siltasaari,Siltasaari
172,35302325,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.5,1.0,1.0,0,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10/10,Helsinki,5,9/10,10/10,0,0,0,0,Private room,60.15586,Helsingfors,10/10,24.93164,17,1,1.0,"Shared flat, private cute room",2,2,71,1.0,100%,within an hour,14.0,80-94/100,43,Private room in apartment,Private room,private_room,Private room,3.6-4.4/5.0,10.0,14.0,0.97,16,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Konala,Konala
173,15822795,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,3.0,1,CANCEL_FLEXIBLE,10/10,Helsinki,16,9/10,10/10,0,0,0,0,Entire apartment,60.23305,Helsinki,10/10,25.01565,1125,1,0.75,Homy two-room apartment close to everything,5,24,109,1.0,100%,within an hour,14.0,80-94/100,91,Entire apartment,Entire home/apt,entire_home,Entire apartment,3.6-4.4/5.0,10.0,14.0,0.85,0,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Latokartano,Latokartano
174,22377940,10/10,1.0,1.0,0.0,nan,1.0,1.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,10/10,Helsinki,0,9/10,10/10,0,0,0,0,Entire place,60.2162,Helsinki,10/10,24.87324,1125,1,0.0,"1 room apartment in Helsinki, Kornetintie 10 (ID 8075)",1,24,59,,50-89%,within a few hours,14.0,80-94/100,0,,Entire home/apt,entire_home,Entire place,nan,10.0,14.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Tapaninvainio,Tapaninvainio
175,33305338,10/10,1.0,1.0,0.0,4.5-5.0/5.0,1.0,1.0,4.0,1,CANCEL_FLEXIBLE,10/10,Helsinki,32,9/10,10/10,0,0,0,0,Entire house,60.27213,Helsinki,10/10,25.04149,30,1,0.8,Totinen tölli Tapanilan takana,4,9,115,2.0,100%,within an hour,14.0,80-94/100,86,Entire house,Entire home/apt,entire_home,Entire house,3.6-4.4/5.0,10.0,14.0,0.85,14,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,Kluuvi,Kluuvi
176,30973949,9/10,1.0,0.0,0.0,nan,0.0,1.0,1.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,0-8/10,Helsinki,0,9/10,9/10,0,0,0,0,Hotel room,60.14938000000001,Helsinki,9/10,24.98497,7,1,0.0,Double Room with Shared Bathroom in Suomenlinna,2,10,93,45.0,0-49%,unknown,91.0,80-94/100,1,Room in hostel,Private room,private_room,Hotel room,nan,9.0,91.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Siltasaari,Siltasaari
177,21991859,9/10,1.0,0.0,0.0,3.6-4.4/5.0,1.0,2.0,5.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,0-8/10,Helsinki,43,9/10,9/10,0,0,0,0,Entire apartment,60.17284,Helsinki,9/10,24.92983,1125,1,0.9,"Whole nice Apt.(3rooms,70m2) in city centre",6,39,167,1.0,0-49%,unknown,91.0,80-94/100,60,Entire apartment,Entire home/apt,entire_home,Entire apartment,3.6-4.4/5.0,9.0,91.0,1.0,27,543,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Etu-Töölö,Etu-Töölö
178,13731497,9/10,1.0,0.0,0.0,4.5-5.0/5.0,1.0,0.0,2.0,1,CANCEL_FLEXIBLE,0-8/10,Helsinki,16,9/10,9/10,0,0,0,1,Entire apartment,60.15691999999999,Helsinki,9/10,24.94572,5,1,0.0,Funky bohemian city residence,3,12,115,1.0,0-49%,unknown,91.0,80-94/100,67,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.5-5.0/5.0,9.0,91.0,0.98,33,109,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Torkkelinmäki,Torkkelinmäki
179,42584393,9/10,1.0,0.0,0.0,4.5-5.0/5.0,1.5,1.0,2.0,0,CANCEL_FLEXIBLE,0-8/10,Helsinki,16,9/10,9/10,0,0,0,0,Entire apartment,60.16611,Helsingfors,9/10,24.9744,1125,1,0.65,The black Pearl home,6,24,121,1.0,100%,within an hour,91.0,80-94/100,3,Entire apartment,Entire home/apt,entire_home,Entire apartment,4.5-5.0/5.0,9.0,91.0,0.95,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,Punavuori,Punavuori
180,41653754,9/10,1.0,0.0,0.0,4.5-5.0/5.0,4.0,1.0,3.0,1,CANCEL_FLEXIBLE,0-8/10,Helsinki,0,9/10,9/10,0,0,0,0,Hostel room,60.17961999999999,Helsingfors,9/10,24.95892000000001,1125,1,0.0,Семейный номер. №2. · Hotel-hostel INNTOURIST in the CENTER of Helsinki,4,13,73,45.0,100%,within an hour,91.0,80-94/100,3,Private room in hostel,Private room,private_room,Hostel room,4.5-5.0/5.0,9.0,91.0,0.0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,Taka-Töölö,Taka-Töölö
181,31973556,9/10,1.0,0.0,0.0,4.5-5.0/5.0,1.0,1.0,3.0,1,CANCEL_STRICT_14_WITH_GRACE_PERIOD,0-8/10,Helsinki,38,9/10,9/10,0,0,0,0,Entire apartment,60.2002,Helsinki,9/10,24.9404,1125,1,0.75,"Helsinki downtown Pasila ap for 4+1 child, parking",5,16,167,1.0,50-89%,within an hour,91.0,80-94/100,16,Entire apartment,Entire home/apt,entire_home,Entire apartment,3.6-4.4/5.0,9.0,91.0,0.9,33,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,Patola,Patola
